Player,Team,ppg,gp,fgPercentage
Joel Embiid,Philadelphia 76ers,34.7,39,52.9
Luka Dončić,Dallas Mavericks,33.9,70,48.7
Giannis Antetokounmpo,Milwaukee Bucks,30.4,73,61.1
Shai Gilgeous-Alexander,Oklahoma City Thunder,30.1,75,53.5
Jalen Brunson,New York Knicks,28.7,77,47.9
Kevin Durant,Phoenix Suns,27.1,75,52.3
Devin Booker,Phoenix Suns,27.1,68,49.2
Jayson Tatum,Boston Celtics,26.9,74,47.1
Donovan Mitchell,Cleveland Cavaliers,26.6,55,46.2
De'Aaron Fox,Sacramento Kings,26.6,74,46.5
Stephen Curry,Golden State Warriors,26.4,74,45.0
Nikola Jokić,Denver Nuggets,26.4,79,58.3
Tyrese Maxey,Philadelphia 76ers,25.9,70,45.0
Anthony Edwards,Minnesota Timberwolves,25.9,79,46.1
Trae Young,Atlanta Hawks,25.7,54,43.0
LeBron James,Los Angeles Lakers,25.7,71,54.0
Kyrie Irving,Dallas Mavericks,25.6,58,49.7
Ja Morant,Memphis Grizzlies,25.1,9,47.1
Anthony Davis,Los Angeles Lakers,24.7,76,55.6
Damian Lillard,Milwaukee Bucks,24.3,73,42.4
DeMar DeRozan,Chicago Bulls,24.0,79,48.0
Julius Randle,New York Knicks,24.0,46,47.2
LaMelo Ball,Charlotte Hornets,23.9,22,43.3
Desmond Bane,Memphis Grizzlies,23.7,42,46.4
Kawhi Leonard,LA Clippers,23.7,68,52.5
Lauri Markkanen,Utah Jazz,23.2,55,48.0
Jaylen Brown,Boston Celtics,23.0,70,49.9
Zion Williamson,New Orleans Pelicans,22.9,70,57.0
Cade Cunningham,Detroit Pistons,22.7,62,44.9
Anfernee Simons,Portland Trail Blazers,22.6,46,43.0
Paul George,LA Clippers,22.6,74,47.1
Paolo Banchero,Orlando Magic,22.6,80,45.5
Jaren Jackson Jr.,Memphis Grizzlies,22.5,66,44.4
Dejounte Murray,Atlanta Hawks,22.5,78,45.9
Cam Thomas,Brooklyn Nets,22.5,66,44.2
Kyle Kuzma,Washington Wizards,22.2,70,46.3
Karl-Anthony Towns,Minnesota Timberwolves,21.8,62,50.4
Pascal Siakam,Indiana Pacers,21.7,80,53.6
Victor Wembanyama,San Antonio Spurs,21.4,71,46.5
Jamal Murray,Denver Nuggets,21.2,59,48.1
Alperen Sengun,Houston Rockets,21.1,63,53.7
Miles Bridges,Charlotte Hornets,21.0,69,46.2
Jerami Grant,Portland Trail Blazers,21.0,54,45.1
Tyler Herro,Miami Heat,20.8,42,44.1
Brandon Ingram,New Orleans Pelicans,20.8,64,49.2
Jimmy Butler,Miami Heat,20.8,60,49.9
RJ Barrett,Toronto Raptors,20.2,58,49.5
Tyrese Haliburton,Indiana Pacers,20.1,69,47.7
Kristaps Porziņģis,Boston Celtics,20.1,57,51.6
CJ McCollum,New Orleans Pelicans,20.0,66,45.9
Scottie Barnes,Toronto Raptors,19.9,60,47.5
Terry Rozier,Miami Heat,19.8,61,44.3
Franz Wagner,Orlando Magic,19.7,72,48.2
Jalen Green,Houston Rockets,19.6,82,42.3
Mikal Bridges,Brooklyn Nets,19.6,82,43.6
Zach LaVine,Chicago Bulls,19.5,25,45.2
Devin Vassell,San Antonio Spurs,19.5,68,47.2
Domantas Sabonis,Sacramento Kings,19.4,82,59.4
Bam Adebayo,Miami Heat,19.3,71,52.1
Coby White,Chicago Bulls,19.1,79,44.7
Jalen Williams,Oklahoma City Thunder,19.1,71,54.0
Collin Sexton,Utah Jazz,18.7,78,48.7
Bradley Beal,Phoenix Suns,18.2,53,51.3
Darius Garland,Cleveland Cavaliers,18.0,57,44.6
