Player,
Team,ppg,gp,fgPercentage,
Joel Embiid,PHI,34.7,39,52.9,
Luka Dončić,DAL,33.9,70,48.7,
Giannis Antetokounmpo,MIL,30.4,73,61.1,
Shai Gilgeous-Alexander,OKC,30.1,75,53.5,
Jalen Brunson,NYK,28.7,77,47.9,
Kevin Durant,PHX,27.1,75,52.3,
Devin Booker,PHX,27.1,68,49.2,
Jayson Tatum,BOS,26.9,74,47.1,
Donovan Mitchell,CLE,26.6,55,46.2,
De'Aaron Fox,SAC,26.6,74,46.5,
Stephen Curry,GSW,26.4,74,45.0,
Nikola Jokić,DEN,26.4,79,58.3,
Tyrese Maxey,PHI,25.9,70,45.0,
Anthony Edwards,MIN,25.9,79,46.1,
Trae Young,ATL,25.7,54,43.0,
LeBron James,LAL,25.7,71,54.0,
Kyrie Irving,DAL,25.6,58,49.7,
Ja Morant,MEM,25.1,9,47.1,
Anthony Davis,LAL,24.7,76,55.6,
Damian Lillard,MIL,24.3,73,42.4,
DeMar DeRozan,CHI,24.0,79,48.0,
Julius Randle,NYK,24.0,46,47.2,
LaMelo Ball,CHA,23.9,22,43.3,
Desmond Bane,MEM,23.7,42,46.4,
Kawhi Leonard,LAC,23.7,68,52.5,
Lauri Markkanen,UTA,23.2,55,48.0,
Jaylen Brown,BOS,23.0,70,49.9,
Zion Williamson,NOP,22.9,70,57.0,
Cade Cunningham,DET,22.7,62,44.9,
Anfernee Simons,POR,22.6,46,43.0,
Paul George,LAC,22.6,74,47.1,
Paolo Banchero,ORL,22.6,80,45.5,
Jaren Jackson Jr.,MEM,22.5,66,44.4,
Dejounte Murray,ATL,22.5,78,45.9,
Cam Thomas,BKN,22.5,66,44.2,
Kyle Kuzma,WAS,22.2,70,46.3,
Karl-Anthony Towns,MIN,21.8,62,50.4,
Pascal Siakam,IND,21.7,80,53.6,
Victor Wembanyama,SAS,21.4,71,46.5,
Jamal Murray,DEN,21.2,59,48.1,
Alperen Sengun,HOU,21.1,63,53.7,
Miles Bridges,CHA,21.0,69,46.2,
Jerami Grant,POR,21.0,54,45.1,
Tyler Herro,MIA,20.8,42,44.1,
Brandon Ingram,NOP,20.8,64,49.2,
Jimmy Butler,MIA,20.8,60,49.9,
RJ Barrett,TOR,20.2,58,49.5,
Tyrese Haliburton,IND,20.1,69,47.7,
Kristaps Porziņģis,BOS,20.1,57,51.6,
CJ McCollum,NOP,20.0,66,45.9,
Scottie Barnes,TOR,19.9,60,47.5,
Terry Rozier,MIA,19.8,61,44.3,
Franz Wagner,ORL,19.7,72,48.2,
Jalen Green,HOU,19.6,82,42.3,
Mikal Bridges,BKN,19.6,82,43.6,
Zach LaVine,CHI,19.5,25,45.2,
Devin Vassell,SAS,19.5,68,47.2,
Domantas Sabonis,SAC,19.4,82,59.4,
Bam Adebayo,MIA,19.3,71,52.1,
Coby White,CHI,19.1,79,44.7,
Jalen Williams,OKC,19.1,71,54.0,
Collin Sexton,UTA,18.7,78,48.7,
Bradley Beal,PHX,18.2,53,51.3,
Darius Garland,CLE,18.0,57,44.6,
Nikola Vučević,CHI,18.0,76,48.4,
D'Angelo Russell,LAL,18.0,76,45.6,
Klay Thompson,GSW,17.9,77,43.2,
Fred VanVleet,HOU,17.4,73,41.6,
Jordan Poole,WAS,17.4,78,41.3,
Brandon Miller,CHA,17.3,74,44.0,
Tobias Harris,PHI,17.2,70,48.7,
Jordan Clarkson,UTA,17.1,55,41.3,
Myles Turner,IND,17.1,77,52.4,
Immanuel Quickley,TOR,17.0,68,43.4,
Bogdan Bogdanović,ATL,16.9,79,42.8,
Michael Porter Jr.,DEN,16.7,81,48.4,
Deandre Ayton,POR,16.7,55,57.0,
James Harden,LAC,16.6,72,42.8,
Chet Holmgren,OKC,16.5,82,53.0,
Jarrett Allen,CLE,16.5,77,63.4,
Jonathan Kuminga,GSW,16.1,74,52.9,
Jalen Johnson,ATL,16.0,56,51.1,
Shaedon Sharpe,POR,15.9,32,40.6,
Austin Reaves,LAL,15.9,82,48.6,
Malcolm Brogdon,POR,15.7,39,44.0,
Keldon Johnson,SAS,15.7,69,45.4,
Evan Mobley,CLE,15.7,50,57.9,
De'Andre Hunter,ATL,15.6,57,45.9,
Donte DiVincenzo,NYK,15.5,81,44.3,
Kelly Oubre Jr.,PHI,15.4,68,44.1,
Malik Monk,SAC,15.4,72,44.3,
Jaden Ivey,DET,15.4,77,42.9,
Bojan Bogdanović,NYK,15.2,57,45.4,
Keegan Murray,SAC,15.2,77,45.4,
Derrick White,BOS,15.2,73,46.1,
John Collins,UTA,15.1,68,53.2,
Khris Middleton,MIL,15.1,55,49.3,
Trey Murphy III,NOP,14.8,57,44.3,
Deni Avdija,WAS,14.7,75,50.6,
OG Anunoby,NYK,14.7,50,48.9,
GG Jackson,MEM,14.6,48,42.8,
Bennedict Mathurin,IND,14.5,59,44.6,
Marcus Smart,MEM,14.5,20,43.0,
Tim Hardaway Jr.,DAL,14.4,79,40.2,
Dennis Schröder,BKN,14.0,80,43.5,
Caris LeVert,CLE,14.0,68,42.1,
Scoot Henderson,POR,14.0,62,38.5,
Rudy Gobert,MIN,14.0,76,66.1,
Norman Powell,LAC,13.9,76,48.6,
Aaron Gordon,DEN,13.9,73,55.6,
Jalen Duren,DET,13.8,61,61.9,
Bobby Portis,MIL,13.8,82,50.8,
Jabari Smith Jr.,HOU,13.7,76,45.4,
Gary Trent Jr.,TOR,13.7,71,42.6,
Saddiq Bey,ATL,13.7,63,41.6,
Rui Hachimura,LAL,13.6,68,53.7,
Grayson Allen,PHX,13.5,75,49.9,
Naz Reid,MIN,13.5,81,47.7,
Cameron Johnson,BKN,13.4,58,44.6,
Corey Kispert,WAS,13.4,80,48.6,
Andrew Wiggins,GSW,13.2,71,45.3,
Keyonte George,UTA,13.0,75,39.1,
Scotty Pippen Jr.,MEM,12.9,21,49.3,
Duncan Robinson,MIA,12.9,68,45.0,
P.J. Washington,DAL,12.9,73,43.6,
Mark Williams,CHA,12.7,19,64.9,
Dillon Brooks,HOU,12.7,72,42.8,
Jalen Suggs,ORL,12.6,75,47.1,
Brook Lopez,MIL,12.5,79,48.5,
Jrue Holiday,BOS,12.5,69,48.0,
Josh Giddey,OKC,12.3,80,47.5,
Cam Whitmore,HOU,12.3,47,45.4,
Javonte Green,CHI,12.2,9,60.0,
Jonas Valančiūnas,NOP,12.2,82,55.9,
Harrison Barnes,SAC,12.2,82,47.4,
Max Strus,CLE,12.2,70,41.8,
