,Less than 5ft. made,Less than 5ft. attempted,Less than 5ft. percentage,5-9 ft. made,5-9 ft. attempted,5-9 ft. percentage,10-14 ft. made,10-14 ft. attempted,10-14 ft. percentage,15-19 ft. made,15-19 ft. attempted,15-19 ft. percentage,20-24 ft. made,20-24 ft. attempted,20-24 ft. percentage,25-29 ft. made,25-29 ft. attempted,25-29 ft. percentage,
Atlanta Hawks,18.3,30.3,60.3,4.5,10.5,42.2,4.2,8.6,48.4,1.9,4.2,46.4,5.9,15.2,38.9,7.9,22.0,36.0,
Boston Celtics,18.5,27.1,68.1,3.6,8.3,42.9,2.8,6.2,45.5,2.1,4.8,42.6,5.7,13.4,42.8,11.1,29.5,37.5,
Brooklyn Nets,18.0,29.1,62.0,4.1,10.2,40.2,3.2,7.3,43.3,1.8,4.8,36.9,6.0,15.3,39.1,7.5,21.7,34.5,
Charlotte Hornets,18.2,28.9,63.0,4.5,10.2,44.1,2.6,7.1,37.5,2.1,5.4,38.5,4.4,12.0,36.5,7.9,22.1,36.0,
Chicago Bulls,18.0,29.5,61.0,4.8,10.5,45.9,3.9,8.0,49.1,3.1,7.3,42.7,5.7,15.5,37.1,6.3,18.1,34.9,
Cleveland Cavaliers,19.2,30.3,63.5,4.7,10.3,45.4,2.4,5.4,44.9,1.5,3.5,43.2,5.1,13.6,37.8,8.5,22.8,37.2,
Dallas Mavericks,17.8,26.2,68.0,4.4,9.4,46.9,3.3,7.4,44.0,2.4,5.9,41.5,6.3,16.2,38.7,8.7,23.6,37.0,
Denver Nuggets,20.3,31.9,63.5,4.9,10.2,48.4,3.1,6.6,48.0,3.1,6.8,45.5,5.7,14.8,38.6,6.8,17.8,38.0,
Detroit Pistons,19.0,30.5,62.3,4.3,10.6,40.0,3.6,8.2,44.2,2.6,6.1,42.9,4.6,13.3,34.9,6.7,18.8,35.5,
Golden State Warriors,18.8,28.4,66.4,4.3,10.4,41.1,2.7,6.4,42.0,2.5,6.2,41.1,4.3,11.0,38.7,10.7,27.8,38.6,
Houston Rockets,19.8,32.3,61.3,3.3,8.9,37.7,3.0,6.5,46.2,2.3,5.5,42.3,4.5,11.6,38.3,8.8,25.4,34.5,
Indiana Pacers,22.3,33.8,66.0,5.0,10.6,46.8,3.9,7.9,49.7,2.1,4.0,53.7,4.9,12.2,39.9,8.6,23.4,36.8,
LA Clippers,18.0,27.8,64.7,4.7,9.9,46.9,4.2,8.7,47.8,2.5,6.0,42.6,4.9,12.4,39.7,8.0,21.4,37.5,
Los Angeles Lakers,22.1,32.0,68.9,4.0,9.9,40.8,3.2,7.3,43.8,2.1,5.6,38.0,4.5,12.1,37.4,7.4,19.6,37.6,
Memphis Grizzlies,16.4,28.4,57.9,5.0,12.1,41.1,2.3,5.7,41.0,1.1,3.0,38.1,5.3,15.2,34.8,8.0,22.9,35.1,
Miami Heat,15.5,25.1,61.7,6.2,12.8,48.7,3.4,8.4,40.3,1.8,4.6,39.3,5.6,14.0,39.9,7.3,20.3,35.9,
Milwaukee Bucks,18.9,27.9,67.9,3.5,8.0,43.6,3.0,6.9,44.3,2.8,6.3,44.2,5.7,13.9,40.8,8.8,24.2,36.5,
Minnesota Timberwolves,18.6,28.9,64.4,5.1,11.8,43.5,3.0,6.6,45.0,1.3,3.6,36.9,6.7,16.6,40.4,6.4,17.0,37.7,
New Orleans Pelicans,19.2,30.3,63.3,4.7,11.0,42.4,3.3,7.2,46.0,2.5,5.3,46.1,5.5,13.2,41.8,7.2,19.6,36.8,
New York Knicks,17.2,28.3,60.9,5.1,11.1,46.5,3.6,8.2,43.7,1.9,4.6,40.0,6.1,15.6,39.1,7.3,20.6,35.5,
Oklahoma City Thunder,19.4,29.6,65.4,4.5,9.9,45.0,4.6,8.9,51.4,2.3,5.2,44.2,6.0,14.7,41.1,7.7,20.6,37.5,
Orlando Magic,21.2,32.4,65.3,3.6,9.2,38.9,2.5,6.4,38.6,2.0,4.9,39.7,4.3,11.4,38.0,6.9,19.8,34.7,
Philadelphia 76ers,18.9,31.0,60.8,4.2,10.6,39.4,3.5,7.8,44.3,2.4,5.3,44.4,4.3,10.8,39.8,8.2,23.2,35.4,
Phoenix Suns,16.8,25.7,65.2,4.2,9.4,45.1,4.9,9.9,49.9,3.7,7.6,49.0,5.0,12.3,41.0,7.6,20.7,36.7,
Portland Trail Blazers,18.0,31.0,58.2,3.5,10.3,34.0,3.0,7.4,40.9,3.0,6.8,43.3,4.9,13.1,37.3,6.7,20.2,33.3,
Sacramento Kings,18.0,27.3,66.2,5.4,11.2,48.2,3.4,7.6,44.3,1.8,4.6,38.5,5.5,14.4,38.3,9.2,25.4,36.1,
San Antonio Spurs,19.8,30.9,64.2,4.4,10.7,41.5,2.9,7.0,42.1,1.8,4.8,36.8,5.0,13.9,36.2,7.9,23.0,34.3,
Toronto Raptors,20.7,31.8,64.9,5.1,12.2,41.4,2.7,6.7,39.9,2.0,4.9,41.5,4.5,12.5,35.8,7.3,21.0,34.6,
Utah Jazz,19.0,29.2,65.2,6.3,14.7,42.4,2.4,5.8,41.3,1.1,2.9,38.0,5.6,15.4,36.2,7.5,21.3,35.4,
Washington Wizards,21.3,32.3,65.7,4.7,11.9,39.3,2.7,6.7,40.3,1.5,3.7,38.9,4.4,11.6,37.6,8.1,23.4,34.8,
